wavelength_nm,scalar3_db_km,vector3_db_km,bache_TE_db_km,bache_hybrid_db_km,scalar_vs_TE_pct,vector_vs_hybrid_pct
1310.0,57017.73166628438,139514.4588526146,59681.02435083392,156381.4508594622,-4.462545195091517,-10.785800946434332
1550.0,47037.0453488195,118076.92996596843,47781.67714417616,126020.87440783823,-1.5584044760710514,-6.303673482030447
