model_name,wavelength_nm,converged,u_real,u_imag,beta_real_per_m,beta_imag_per_m,neff_real,neff_imag,loss_db_km,characteristic_abs,direct_transfer_residual_abs,relative_smallest_singular_value,root_message,roots_found,model,quantity,layers,matching_smin_ratio,outgoing_smin_ratio,determinant_abs,root_count,paper_loss_db_km,relative_error_pct,absolute_percentage_error,exceeds_10pct,within_15pct,reference_kind,interpretation
5-layer: air | silica | air gap | silica | outgoing air,1310.0,True,2.362899905532139,-1.069188449902045e-05,4793648.642856107,0.024224194464978352,0.9994420688127597,5.050574381892033e-09,210.40867969382785,9.937151075536008e-14,8.298548549323362e-10,3.364899664361507e-15,The solution converged.,1.0,old_scalar5,confinement/leakage loss only,,,,,,0.128,164281.78101080304,164281.78101080304,True,False,published text rounded; n=2,leakage-to-measured-total discrepancy; not validated total-loss accuracy
7-layer diagnostic: air | silica | gap | silica | gap | silica | outgoing air,1310.0,True,2.362885285339576,-8.967649829579932e-08,4793648.675980361,0.00020317535956498417,0.999442075718934,4.2360635253904964e-11,1.7647587503556337,4.2480294813073696e-13,9.663581338237722e-07,3.298161325638225e-14,The solution converged.,1.0,old_scalar7,confinement/leakage loss only,,,,,,0.128,1278.7177737153388,1278.7177737153388,True,False,published text rounded; n=2,leakage-to-measured-total discrepancy; not validated total-loss accuracy
,1310.0,True,2.342318629669998,-2.7181296912854112e-06,,,0.9994517484968052,1.2727793748054685e-09,53.02443000434147,,,,,,new_vector7,confinement/leakage loss only,7.0,7.41353009451745e-16,9.324979544934083e-12,9.627117278175044e-16,1.0,0.128,41325.33594089177,41325.33594089177,True,False,published text rounded; n=2,leakage-to-measured-total discrepancy; not validated total-loss accuracy
,1310.0,True,2.3423199081342125,-1.5375613830633467e-08,,,0.9994517478981565,7.199720791273808e-12,0.29994286417946425,,,,,,fullchord_vector9,confinement/leakage loss only,9.0,3.024216504870427e-13,6.623651598443049e-07,3.8390277978464914e-13,1.0,0.128,134.33036264020646,134.33036264020646,True,False,published text rounded; n=2,leakage-to-measured-total discrepancy; not validated total-loss accuracy
5-layer: air | silica | air gap | silica | outgoing air,1550.0,True,2.3829230340863794,-5.2372565301898145e-06,4050447.387660055,0.014162072920992957,0.9992055213936161,3.493644060196055e-09,123.01020243797414,6.973699775008512e-13,5.674934714643059e-09,1.6173971360357083e-14,The solution converged.,1.0,old_scalar5,confinement/leakage loss only,,,,,,0.091,135076.04663513642,135076.04663513642,True,False,published text rounded; n=2,leakage-to-measured-total discrepancy; not validated total-loss accuracy
7-layer diagnostic: air | silica | gap | silica | gap | silica | outgoing air,1550.0,True,2.3829161698449304,-2.8507824945935207e-08,4050447.406221618,7.708782805322435e-05,0.999205525972571,1.901680877467754e-11,0.6695763669084406,5.058501362269278e-13,8.978888500939103e-07,1.3939715555821536e-14,The solution converged.,1.0,old_scalar7,confinement/leakage loss only,,,,,,0.091,635.7982053938908,635.7982053938908,True,False,published text rounded; n=2,leakage-to-measured-total discrepancy; not validated total-loss accuracy
,1550.0,True,2.3724275972148567,-8.76599889907129e-07,,,0.9992125071967917,5.821784648810872e-10,20.498336289024472,,,,,,new_vector7,confinement/leakage loss only,7.0,8.728247829628376e-14,2.3031649170026595e-09,1.5654870299099948e-13,1.0,0.091,22425.644273653263,22425.644273653263,True,False,published text rounded; n=2,leakage-to-measured-total discrepancy; not validated total-loss accuracy
,1550.0,True,2.372428253176446,-1.0103072601339243e-06,,,0.9992125067611463,6.709780589975191e-10,23.624944455300927,,,,,,fullchord_vector9,confinement/leakage loss only,9.0,1.9929235253540074e-13,4.545798056605159e-09,3.573946250355587e-13,1.0,0.091,25861.47742340761,25861.47742340761,True,False,published text rounded; n=2,leakage-to-measured-total discrepancy; not validated total-loss accuracy
