wavelength_nm,model_stage,model,predicted_leakage_db_km,paper_measured_total_db_km,signed_error_percent,absolute_error_percent,prediction_to_measurement_ratio,within_10_percent,within_15_percent,target_used_for_fitting,validation_split,calibrated_model_status,quantity_warning
1310.0,Raw,5-layer concentric scalar,210.4086796946056,0.128,164281.78101141067,164281.78101141067,1643.8178101141064,False,False,False,independent hold-out benchmark,not produced (Petrovich fitting prohibited),leakage-only model compared with measured total loss
1310.0,Current no-fit,7-layer concentric scalar (closest no-fit radial surrogate),1.7647587876420283,0.128,1278.7178028453347,1278.7178028453347,13.787178028453345,False,False,False,independent hold-out benchmark,not produced (Petrovich fitting prohibited),leakage-only model compared with measured total loss
1550.0,Raw,5-layer concentric scalar,123.01020243816794,0.091,135076.0466353494,135076.0466353494,1351.760466353494,False,False,False,independent hold-out benchmark,not produced (Petrovich fitting prohibited),leakage-only model compared with measured total loss
1550.0,Current no-fit,7-layer concentric scalar (closest no-fit radial surrogate),0.6695769736160354,0.091,635.7988721055334,635.7988721055334,7.357988721055334,False,False,False,independent hold-out benchmark,not produced (Petrovich fitting prohibited),leakage-only model compared with measured total loss
