model_name,wavelength_nm,converged,u_real,u_imag,beta_real_per_m,beta_imag_per_m,neff_real,neff_imag,loss_db_km,characteristic_abs,direct_transfer_residual_abs,relative_smallest_singular_value,root_message,roots_found,layers
3-layer: air | silica | outgoing air,1310.0,True,2.3614527313688987,-0.002899124783766328,4793651.924692127,6.56440894855605,0.9994427530525164,1.3686331537575704e-06,57017.73166628438,3.468083826549234e-13,7.267343820849847e-12,8.893640590522787e-15,The solution converged.,1,3-layer
5-layer: air | silica | air gap | silica | outgoing air,1310.0,True,2.362899905531942,-1.0691884499060865e-05,4793648.642856107,0.024224194465067895,0.9994420688127597,5.050574381910702e-09,210.4086796946056,9.932055772740018e-14,8.294386291917947e-10,3.369537616180187e-15,The solution converged.,1,5-layer
7-layer diagnostic: air | silica | gap | silica | gap | silica | outgoing air,1310.0,True,2.3628852853397397,-8.96765001905072e-08,4793648.675980361,0.000203175363857739,0.999442075718934,4.236063614891419e-11,1.7647587876420283,4.1973119161063573e-13,9.547301392227723e-07,3.2579256394785673e-14,The solution converged.,1,7-layer
3-layer: air | silica | outgoing air,1550.0,True,2.381841135356979,-0.002003550461242317,4050450.31484001,5.415339971933835,0.9992062435001127,1.3359110938374135e-06,47037.0453488195,1.954199928901089e-12,4.0619054421908604e-11,4.9559389735321845e-14,The solution converged.,1,3-layer
5-layer: air | silica | air gap | silica | outgoing air,1550.0,True,2.3829230340863994,-5.2372565301980205e-06,4050447.387660055,0.014162072921015267,0.9992055213936161,3.4936440602015585e-09,123.01020243816794,6.973797764148934e-13,5.67517993083998e-09,1.6172455602724917e-14,The solution converged.,1,5-layer
7-layer diagnostic: air | silica | gap | silica | gap | silica | outgoing air,1550.0,True,2.3829161698448633,-2.8507850777065602e-08,4050447.406221618,7.708789790301754e-05,0.999205525972571,1.9016826005934325e-11,0.6695769736160354,8.3913278407816e-15,1.4950197280126268e-08,2.23880594322049e-16,The solution converged.,1,7-layer
