case,reference_peak_power_dbm_per_channel,reference_peak_throughput_tbps,physical_peak_power_dbm_per_channel,physical_peak_throughput_tbps,physical_rmse_tbps_visible_range,equivalent_fit_ase_w,equivalent_fit_eta_per_w2,equivalent_fit_peak_power_dbm_per_channel,equivalent_fit_peak_throughput_tbps,equivalent_fit_rmse_tbps_visible_range
HCF,22.000,52.670866035089,22.400,52.671813753747,0.258831977326,1.820581932444e-06,1.717915957680e-04,22.400,52.671012032634,0.000485004980
SMF,10.000,37.670862182798,3.000,52.812451006495,20.017367737391,2.272985364887e-04,9.036902647964e+01,10.300,37.729234283104,0.004675359920
