fiber,alpha_dB_km,D_ps_nm_km,gamma_W_inv_km,modulation,spacing_GHz,net_SE_bit_s_Hz,paper_Lmax_km,paper_required_OSNR_dB_0p1nm,digitization_uncertainty_pct,gn_eta_W_inv2,gn_one_span_nli_W_at_0dBm,ase_one_span_W,gn_Lmax_km,gn_popt_dBm,gn_error_pct,gn_signed_error_pct,required_snr_db,egn_eta_W_inv2,egn_one_span_nli_W_at_0dBm,egn_to_gn_nli_ratio,egn_to_gn_nli_ratio_db,egn_Lmax_km,egn_popt_dBm,egn_error_pct,egn_signed_error_pct,egn_status
PSCF,0.18,20.1,0.9,QPSK,50.0,2.0,8900,13.97,4,228.02267604865244,2.2802267604865245e-07,8.052982969648209e-07,10200.0,0.8231624893012256,14.606741573033707,14.606741573033707,9.887600346881506,73.82508091818792,7.382508091818792e-08,0.26393284484244406,-5.785065611015089,14900.0,2.455742844432746,67.41573033707866,67.41573033707866,paper_incoherent_scaling_of_one_span_full_egn
SMF,0.22,16.7,1.3,QPSK,50.0,2.0,4100,13.97,4,428.41261994395757,4.284126199439576e-07,2.0424250024002713e-06,4400.0,1.2575128901179835,7.317073170731707,7.317073170731707,9.887600346881506,136.44325639753635,1.3644325639753636e-07,0.2616839595900002,-5.822228974405588,6500.0,2.9138801557498213,58.536585365853654,58.536585365853654,paper_incoherent_scaling_of_one_span_full_egn
NZDSF,0.22,3.8,1.5,QPSK,50.0,2.0,2700,13.97,4,1694.3773003756646,1.6943773003756647e-06,2.0424250024002713e-06,2800.0,-0.7329800065123573,3.7037037037037033,3.7037037037037033,9.887600346881506,563.2627124036991,5.632627124036991e-07,0.29135038122818013,-5.355844093047848,4000.0,0.8613504013176161,48.148148148148145,48.148148148148145,paper_incoherent_scaling_of_one_span_full_egn
