fiber,alpha_dB_km,D_ps_nm_km,gamma_W_inv_km,modulation,spacing_GHz,net_SE_bit_s_Hz,paper_Lmax_km,paper_required_OSNR_dB_0p1nm,digitization_uncertainty_pct,gn_eta_W_inv2,gn_one_span_nli_W_at_0dBm,ase_one_span_W,gn_Lmax_km,gn_popt_dBm,gn_error_pct,gn_signed_error_pct,required_snr_db
PSCF,0.18,20.1,0.9,BPSK,50.0,1.0,17300,10.94,5,228.02267604865244,2.2802267604865245e-07,8.052982969648209e-07,20600.0,0.8231624893012256,19.07514450867052,19.07514450867052,6.857600346881504
PSCF,0.18,20.1,0.9,BPSK,38.4,1.3021,15300,11.17,5,325.6387340577881,3.256387340577881e-07,8.052982969648209e-07,17300.0,0.30730242421118986,13.071895424836603,13.071895424836603,7.087600346881504
PSCF,0.18,20.1,0.9,BPSK,35.2,1.4205,14100,11.42,5,379.5321951954535,3.795321951954535e-07,8.052982969648209e-07,15500.0,0.0855938752979703,9.929078014184398,9.929078014184398,7.337600346881504
PSCF,0.18,20.1,0.9,BPSK,33.6,1.4881,12700,11.81,5,415.1671643743671,4.151671643743671e-07,8.052982969648209e-07,13800.0,-0.04432070934097221,8.661417322834646,8.661417322834646,7.727600346881505
PSCF,0.18,20.1,0.9,BPSK,32.8,1.5244,11500,12.11,5,436.62988820093744,4.366298882009375e-07,8.052982969648209e-07,12600.0,-0.11728891913211721,9.565217391304348,9.565217391304348,8.027600346881503
PSCF,0.18,20.1,0.9,BPSK,32.0,1.5625,10300,12.42,5,460.4188148659595,4.6041881486595956e-07,8.052982969648209e-07,11600.0,-0.1940875921175629,12.62135922330097,12.62135922330097,8.337600346881505
PSCF,0.18,20.1,0.9,QPSK,50.0,2.0,8900,13.97,4,228.02267604865244,2.2802267604865245e-07,8.052982969648209e-07,10200.0,0.8231624893012256,14.606741573033707,14.606741573033707,9.887600346881506
PSCF,0.18,20.1,0.9,QPSK,38.4,2.6042,7900,14.23,4,325.6387340577881,3.256387340577881e-07,8.052982969648209e-07,8500.0,0.30730242421118986,7.59493670886076,7.59493670886076,10.147600346881504
PSCF,0.18,20.1,0.9,QPSK,35.2,2.8409,6900,14.71,4,379.5321951954535,3.795321951954535e-07,8.052982969648209e-07,7300.0,0.0855938752979703,5.797101449275362,5.797101449275362,10.627600346881504
PSCF,0.18,20.1,0.9,QPSK,33.6,2.9762,6100,15.23,4,415.1671643743671,4.151671643743671e-07,8.052982969648209e-07,6200.0,-0.04432070934097221,1.639344262295082,1.639344262295082,11.147600346881504
PSCF,0.18,20.1,0.9,QPSK,32.8,3.0488,5500,15.69,4,436.62988820093744,4.366298882009375e-07,8.052982969648209e-07,5500.0,-0.11728891913211721,0.0,0.0,11.607600346881505
PSCF,0.18,20.1,0.9,QPSK,32.0,3.125,4600,16.27,5,460.4188148659595,4.6041881486595956e-07,8.052982969648209e-07,4700.0,-0.1940875921175629,2.1739130434782608,2.1739130434782608,12.187600346881503
PSCF,0.18,20.1,0.9,8QAM,50.0,3.0,3500,18.1,5,228.02267604865244,2.2802267604865245e-07,8.052982969648209e-07,3900.0,0.8231624893012256,11.428571428571429,11.428571428571429,14.017600346881505
PSCF,0.18,20.1,0.9,8QAM,38.4,3.9063,3000,18.56,5,325.6387340577881,3.256387340577881e-07,8.052982969648209e-07,3100.0,0.30730242421118986,3.3333333333333335,3.3333333333333335,14.477600346881502
PSCF,0.18,20.1,0.9,8QAM,35.2,4.2614,2200,19.77,6,379.5321951954535,3.795321951954535e-07,8.052982969648209e-07,2200.0,0.0855938752979703,0.0,0.0,15.687600346881503
PSCF,0.18,20.1,0.9,8QAM,33.6,4.4643,1500,21.65,7,415.1671643743671,4.151671643743671e-07,8.052982969648209e-07,1400.0,-0.04432070934097221,6.666666666666667,-6.666666666666667,17.567600346881502
PSCF,0.18,20.1,0.9,8QAM,32.8,4.5732,850,24.27,8,436.62988820093744,4.366298882009375e-07,8.052982969648209e-07,700.0,-0.11728891913211721,17.647058823529413,-17.647058823529413,20.187600346881503
PSCF,0.18,20.1,0.9,16QAM,50.0,4.0,1600,21.2,5,228.02267604865244,2.2802267604865245e-07,8.052982969648209e-07,1900.0,0.8231624893012256,18.75,18.75,17.117600346881503
PSCF,0.18,20.1,0.9,16QAM,38.4,5.2083,1300,21.91,5,325.6387340577881,3.256387340577881e-07,8.052982969648209e-07,1400.0,0.30730242421118986,7.6923076923076925,7.6923076923076925,17.827600346881503
PSCF,0.18,20.1,0.9,16QAM,36.8,5.4348,1050,22.42,6,349.2138757290839,3.4921387572908394e-07,8.052982969648209e-07,1200.0,0.206117644248565,14.285714285714285,14.285714285714285,18.337600346881505
PSCF,0.18,20.1,0.9,16QAM,35.2,5.6818,600,24.65,8,379.5321951954535,3.795321951954535e-07,8.052982969648209e-07,700.0,0.0855938752979703,16.666666666666664,16.666666666666664,20.567600346881502
SMF,0.22,16.7,1.3,BPSK,50.0,1.0,7800,10.94,5,428.41261994395757,4.284126199439576e-07,2.0424250024002713e-06,8900.0,1.2575128901179835,14.102564102564102,14.102564102564102,6.857600346881504
SMF,0.22,16.7,1.3,BPSK,38.4,1.3021,6600,11.17,5,619.6486920582277,6.196486920582277e-07,2.0424250024002713e-06,7500.0,0.7232352841964367,13.636363636363635,13.636363636363635,7.087600346881504
SMF,0.22,16.7,1.3,BPSK,35.2,1.4205,6200,11.42,5,725.5966252909552,7.255966252909552e-07,2.0424250024002713e-06,6700.0,0.49473622804902906,8.064516129032258,8.064516129032258,7.337600346881504
SMF,0.22,16.7,1.3,BPSK,33.6,1.4881,5600,11.81,5,795.43757285083,7.9543757285083e-07,2.0424250024002713e-06,5900.0,0.36170007120994024,5.357142857142857,5.357142857142857,7.727600346881505
SMF,0.22,16.7,1.3,BPSK,32.8,1.5244,4800,12.11,5,836.314573318965,8.36314573318965e-07,2.0424250024002713e-06,5400.0,0.28915485960351867,12.5,12.5,8.027600346881503
SMF,0.22,16.7,1.3,BPSK,32.0,1.5625,4500,12.42,5,881.6534317027813,8.816534317027813e-07,2.0424250024002713e-06,5000.0,0.2127274010497661,11.11111111111111,11.11111111111111,8.337600346881505
