wavelength_nm,paper_loss_db_km
1200,0.5664635
1200.4,0.5603157499999997
1200.8,0.5544952500000001
1201.2,0.5484364999999999
1201.6,0.5403692500000002
1202,0.53328525
1202.4,0.5234264999999997
1202.8,0.5174890000000001
1203.2,0.5166454999999999
1203.6,0.5146422500000003
1204,0.51551775
1204.4,0.5146377499999997
1204.8,0.5113622500000001
1205.2,0.5080284999999999
1205.6,0.5027165000000002
1206,0.49476549999999997
1206.4,0.4911779999999998
1206.8,0.49155150000000014
1207.2,0.48987124999999987
1207.6,0.4890825000000002
1208,0.48453725000000003
1208.4,0.4789742499999998
1208.8,0.47398175000000015
1209.2,0.4631932499999999
1209.6,0.45338100000000026
1210,0.4453585
1210.4,0.4385234999999997
1210.8,0.4363452500000002
1211.2,0.4312614999999998
1211.6,0.4284987500000003
1212,0.42305824999999997
1212.4,0.4180552499999997
1212.8,0.4128537500000002
1213.2,0.40315199999999984
1213.6,0.3977280000000003
1214,0.38983775
1214.4,0.3854932499999997
1214.8,0.38591200000000014
1215.2,0.3827419999999999
1215.6,0.3810580000000002
1216,0.37745850000000003
1216.4,0.37296699999999977
1216.8,0.3677380000000001
1217.2,0.3612202499999999
1217.6,0.3563942500000002
1218,0.3520405
1218.4,0.3468059999999998
1218.8,0.34418400000000016
1219.2,0.3447707499999999
1219.6,0.3417605000000002
1220,0.33995374999999994
1220.4,0.3371097499999999
1220.8,0.33445825000000007
1221.2,0.33251524999999993
1221.6,0.3278792500000001
1222,0.32407299999999994
1222.4,0.3209757499999999
1222.8,0.31904075000000004
1223.2,0.31727999999999995
1223.6,0.31724675000000013
1224,0.31753175
1224.4,0.3169979999999999
1224.8,0.3167662500000001
1225.2,0.3163277499999999
1225.6,0.31541275000000013
1226,0.31447675
1226.4,0.3116024999999999
1226.8,0.30955800000000006
1227.2,0.3068402499999999
1227.6,0.3042705000000001
1228,0.30152650000000003
1228.4,0.2993804999999999
1228.8,0.29859075000000007
1229.2,0.29637099999999994
1229.6,0.2949640000000001
1230,0.29244775
1230.4,0.2910034999999999
1230.8,0.28825900000000004
1231.2,0.2852267499999999
1231.6,0.2817362500000001
1232,0.27951400000000004
1232.4,0.2768299999999999
1232.8,0.2745537500000001
1233.2,0.2731424999999999
1233.6,0.2711177500000001
1234,0.26996
1234.4,0.2691877499999999
1234.8,0.2670362500000001
1235.2,0.26512749999999996
1235.6,0.2622112500000001
1236,0.2598585
1236.4,0.25712449999999987
1236.8,0.2536062500000001
1237.2,0.25161349999999993
1237.6,0.2487015000000001
1238,0.24751775
1238.4,0.24517099999999986
1238.8,0.24331900000000006
1239.2,0.24158749999999993
1239.6,0.23971225000000013
1240,0.2384645
1240.4,0.23676224999999995
1240.8,0.23558475
1241.2,0.23452099999999998
1241.6,0.23343950000000008
1242,0.2316065
1242.4,0.22983399999999993
1242.8,0.2282915
1243.2,0.22627849999999994
1243.6,0.22503175000000006
1244,0.22343825
1244.4,0.22227824999999993
1244.8,0.22094700000000003
1245.2,0.21971299999999996
1245.6,0.21847125000000006
1246,0.21756425000000001
1246.4,0.21615599999999993
1246.8,0.21463100000000002
1247.2,0.21388274999999995
1247.6,0.21188475000000007
1248,0.21049474999999998
1248.4,0.20936674999999993
1248.8,0.20819650000000003
1249.2,0.20685099999999995
1249.6,0.20580750000000006
1250,0.20469825000000003
1250.4,0.20377524999999994
1250.8,0.20264975000000002
1251.2,0.20180399999999996
1251.6,0.20042150000000009
1252,0.19968249999999999
1252.4,0.19829574999999994
1252.8,0.19706875000000001
1253.2,0.19614424999999996
1253.6,0.1946140000000001
1254,0.19321375
1254.4,0.19162274999999993
1254.8,0.19034
1255.2,0.18885849999999998
1255.6,0.18775850000000005
1256,0.18639825
1256.4,0.18578524999999996
1256.8,0.18486000000000002
1257.2,0.18376125
1257.6,0.18308000000000005
1258,0.181736
1258.4,0.18136799999999997
1258.8,0.18002950000000004
1259.2,0.17935874999999998
1259.6,0.17837700000000004
1260,0.17753999999999998
1260.4,0.17713449999999997
1260.8,0.17617725
1261.2,0.17591974999999999
1261.6,0.17565175000000002
1262,0.17534574999999997
1262.4,0.17498924999999999
1262.8,0.17460225000000001
1263.2,0.17396249999999996
1263.6,0.17377675000000004
1264,0.17346475
1264.4,0.1728785
1264.8,0.17213750000000003
1265.2,0.1720635
1265.6,0.17145925
1266,0.17114475
1266.4,0.17020824999999998
1266.8,0.169946
1267.2,0.16959775
1267.6,0.168919
1268,0.1690545
1268.4,0.16862875
1268.8,0.16797974999999998
1269.2,0.167379
1269.6,0.16704325000000003
1270,0.1662565
1270.4,0.16532224999999998
1270.8,0.16467525000000002
1271.2,0.16393824999999995
1271.6,0.16332175000000002
1272,0.1627095
1272.4,0.16175524999999996
1272.8,0.1612575
1273.2,0.16113424999999998
1273.6,0.16001700000000002
1274,0.1597735
1274.4,0.15914624999999996
1274.8,0.1586245
1275.2,0.15829824999999997
1275.6,0.15761300000000003
1276,0.1573115
1276.4,0.15683274999999997
1276.8,0.15640725000000003
1277.2,0.15596925
1277.6,0.15538225000000003
1278,0.1550745
1278.4,0.15455199999999997
1278.8,0.15387825000000005
1279.2,0.15364324999999998
1279.6,0.15315500000000004
1280,0.15275675
1280.4,0.15225524999999995
1280.8,0.15163925
1281.2,0.15127549999999998
1281.6,0.15042125000000003
1282,0.14994949999999999
1282.4,0.14968649999999997
1282.8,0.14888175000000003
1283.2,0.14877274999999998
1283.6,0.14821350000000003
1284,0.147583
1284.4,0.14720249999999996
1284.8,0.1466985
1285.2,0.14623325
1285.6,0.14548350000000004
1286,0.145254
1286.4,0.14480574999999998
1286.8,0.14449350000000002
1287.2,0.1445105
1287.6,0.14393025000000004
1288,0.143635
1288.4,0.14332024999999998
1288.8,0.14257575
1289.2,0.14247674999999999
1289.6,0.14209325000000003
1290,0.14178225
1290.4,0.14152824999999997
1290.8,0.14111649999999998
1291.2,0.1408015
1291.6,0.14052225000000002
1292,0.140266
1292.4,0.14005649999999997
1292.8,0.13965725
1293.2,0.1394095
1293.6,0.13905725000000002
1294,0.13850025
1294.4,0.13827325000000001
1294.8,0.13837475000000002
1295.2,0.1379165
1295.6,0.13762725000000003
1296,0.13756325000000003
1296.4,0.1370365
1296.8,0.13635775
1297.2,0.13614300000000001
1297.6,0.13596250000000001
1298,0.13573625
1298.4,0.13545524999999997
1298.8,0.1349035
1299.2,0.134673
1299.6,0.13455425000000001
1300,0.13459949999999998
1300.4,0.13439099999999998
1300.8,0.13398675
1301.2,0.1335095
1301.6,0.1336195
1302,0.13343375000000002
1302.4,0.13316575
1302.8,0.132966
1303.2,0.13317225
1303.6,0.13259225000000002
1304,0.1323965
1304.4,0.13217375
1304.8,0.132108
1305.2,0.13194525000000001
1305.6,0.13119775000000003
1306,0.13110925
1306.4,0.13122099999999998
1306.8,0.13108625000000002
1307.2,0.13080724999999999
1307.6,0.13058550000000002
1308,0.129795
1308.4,0.12939524999999996
1308.8,0.1293635
1309.2,0.12911899999999998
1309.6,0.12881875000000004
1310,0.12820600000000001
1310.4,0.12824825
1310.8,0.12825125
1311.2,0.1275625
1311.6,0.12751
1312,0.12735675
1312.4,0.12774975
1312.8,0.127823
1313.2,0.12780975
1313.6,0.1276065
1314,0.12780450000000002
1314.4,0.12758
1314.8,0.127303
1315.2,0.12695175
1315.6,0.1265215
1316,0.12667175
1316.4,0.12606124999999999
1316.8,0.12581775
1317.2,0.12542025
1317.6,0.12592525
1318,0.12584325
1318.4,0.1254115
1318.8,0.12561125
1319.2,0.12594149999999998
1319.6,0.12562725000000002
1320,0.12545725000000002
1320.4,0.12557574999999999
1320.8,0.124969
1321.2,0.12444525
1321.6,0.12398625
1322,0.12410900000000001
1322.4,0.12418225
1322.8,0.123745
1323.2,0.12428674999999999
1323.6,0.12395500000000001
1324,0.123637
1324.4,0.12341825000000001
1324.8,0.12324125
1325.2,0.12289675
1325.6,0.12242924999999999
1326,0.12242124999999998
1326.4,0.1227285
1326.8,0.12270500000000001
1327.2,0.122882
1327.6,0.12317499999999999
1328,0.12382674999999999
1328.4,0.12358450000000001
1328.8,0.123995
1329.2,0.12412725
1329.6,0.12398925
1330,0.12405950000000002
1330.4,0.1244945
1330.8,0.1246565
1331.2,0.1249745
1331.6,0.12561925
1332,0.12559700000000001
1332.4,0.1254875
1332.8,0.12550299999999998
1333.2,0.125355
1333.6,0.1249435
1334,0.12481700000000001
1334.4,0.12482425
1334.8,0.12534975
1335.2,0.1259575
1335.6,0.12595974999999998
1336,0.12634900000000002
1336.4,0.12704025
1336.8,0.12760849999999999
1337.2,0.12701650000000003
1337.6,0.12694899999999998
1338,0.12767225
1338.4,0.12739675
1338.8,0.1269785
1339.2,0.12753275000000003
1339.6,0.12885524999999998
1340,0.1287755
1340.4,0.12941750000000002
1340.8,0.13000499999999998
1341.2,0.13047775
1341.6,0.12973424999999997
1342,0.12983575
1342.4,0.13049200000000005
1342.8,0.13026474999999998
1343.2,0.132158
1343.6,0.13397874999999998
1344,0.13509675
1344.4,0.13550625000000005
1344.8,0.13669325
1345.2,0.13583625000000005
1345.6,0.13686074999999992
1346,0.1359725
1346.4,0.13614500000000007
1346.8,0.13967924999999998
1347.2,0.14288375000000003
1347.6,0.14580199999999993
1348,0.14689449999999998
1348.4,0.1491780000000001
1348.8,0.14847799999999994
1349.2,0.14504500000000004
1349.6,0.14714624999999992
1350,0.14695775
1350.4,0.14751825000000013
1350.8,0.15160324999999994
1351.2,0.15318050000000005
1351.6,0.15361174999999988
1352,0.15224125
1352.4,0.15621350000000012
1352.8,0.15562574999999995
1353.2,0.15600875000000006
1353.6,0.16094449999999988
1354,0.16729699999999997
1354.4,0.16879300000000008
1354.8,0.17072674999999995
1355.2,0.17638475000000012
1355.6,0.17420849999999977
1356,0.16979525
1356.4,0.17101600000000022
1356.8,0.17826549999999988
